nume_actiune,timestamp
inregistreaza_client,2026-06-04T22:55:50.381499839
adauga_proprietate,2026-06-04T22:55:50.382034376
adauga_proprietate,2026-06-04T22:55:50.385052515
adauga_proprietate,2026-06-04T22:55:50.386025115
adauga_proprietate,2026-06-04T22:55:50.386773032
adauga_anunt,2026-06-04T22:55:50.387530172
adauga_anunt,2026-06-04T22:55:50.388223389
adauga_anunt,2026-06-04T22:55:50.388810406
adauga_anunt,2026-06-04T22:55:50.389345471
programeaza_vizionare,2026-06-04T22:55:50.389741188
programeaza_vizionare,2026-06-04T22:55:50.390471804
programeaza_vizionare,2026-06-04T22:55:50.391133364
incheie_contract,2026-06-04T22:55:50.391656196
incheie_contract,2026-06-04T22:55:50.392898354
adauga_proprietate_favorite,2026-06-04T22:55:50.394133019
adauga_proprietate_favorite,2026-06-04T22:55:50.395407021
adauga_proprietate_favorite,2026-06-04T22:55:50.395853474
adauga_proprietate_favorite,2026-06-04T22:55:50.396310631
adauga_agentie_imobiliara,2026-06-04T22:55:50.396813128
inregistreaza_agent_imobiliar,2026-06-04T22:55:50.397170609
inregistreaza_client,2026-06-04T22:55:50.397537371
adauga_proprietate,2026-06-04T22:55:50.397951259
adauga_anunt,2026-06-04T22:55:50.398429656
programeaza_vizionare,2026-06-04T22:55:50.399086292
schimba_status_vizionare,2026-06-04T22:55:50.399546420
incheie_contract,2026-06-04T22:55:50.400101263
adauga_proprietate_favorite,2026-06-04T22:55:50.400781824
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T22:55:50.401310811
adauga_agentie_imobiliara,2026-06-04T22:59:48.046152320
adauga_agentie_imobiliara,2026-06-04T22:59:48.091478643
inregistreaza_agent_imobiliar,2026-06-04T22:59:48.092727652
inregistreaza_agent_imobiliar,2026-06-04T22:59:48.094582817
inregistreaza_agent_imobiliar,2026-06-04T22:59:48.096127375
inregistreaza_client,2026-06-04T22:59:48.097913115
inregistreaza_client,2026-06-04T22:59:48.100479734
inregistreaza_client,2026-06-04T22:59:48.101813033
adauga_proprietate,2026-06-04T22:59:48.103170857
adauga_proprietate,2026-06-04T22:59:48.110645547
adauga_proprietate,2026-06-04T22:59:48.112039722
adauga_proprietate,2026-06-04T22:59:48.113606714
adauga_anunt,2026-06-04T22:59:48.115228419
adauga_anunt,2026-06-04T22:59:48.116698227
adauga_anunt,2026-06-04T22:59:48.117625200
adauga_anunt,2026-06-04T22:59:48.118352026
programeaza_vizionare,2026-06-04T22:59:48.119315843
programeaza_vizionare,2026-06-04T22:59:48.120304709
programeaza_vizionare,2026-06-04T22:59:48.121227559
incheie_contract,2026-06-04T22:59:48.122003526
incheie_contract,2026-06-04T22:59:48.123618214
adauga_proprietate_favorite,2026-06-04T22:59:48.126036940
adauga_proprietate_favorite,2026-06-04T22:59:48.128877972
adauga_proprietate_favorite,2026-06-04T22:59:48.129697810
adauga_proprietate_favorite,2026-06-04T22:59:48.130641921
adauga_agentie_imobiliara,2026-06-04T22:59:48.131578907
inregistreaza_agent_imobiliar,2026-06-04T22:59:48.132254770
inregistreaza_client,2026-06-04T22:59:48.132923769
adauga_proprietate,2026-06-04T22:59:48.133724810
adauga_anunt,2026-06-04T22:59:48.134641178
programeaza_vizionare,2026-06-04T22:59:48.135506113
schimba_status_vizionare,2026-06-04T22:59:48.136435331
incheie_contract,2026-06-04T22:59:48.137526812
adauga_proprietate_favorite,2026-06-04T22:59:48.138585116
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T22:59:48.139420524
adauga_agentie_imobiliara,2026-06-04T23:00:20.669333917
adauga_agentie_imobiliara,2026-06-04T23:00:20.693695176
inregistreaza_agent_imobiliar,2026-06-04T23:00:20.694301164
inregistreaza_agent_imobiliar,2026-06-04T23:00:20.695146733
inregistreaza_agent_imobiliar,2026-06-04T23:00:20.695884826
inregistreaza_client,2026-06-04T23:00:20.696541001
inregistreaza_client,2026-06-04T23:00:20.697829706
inregistreaza_client,2026-06-04T23:00:20.698410083
adauga_proprietate,2026-06-04T23:00:20.699123435
adauga_proprietate,2026-06-04T23:00:20.702711675
adauga_proprietate,2026-06-04T23:00:20.704223066
adauga_proprietate,2026-06-04T23:00:20.705476529
adauga_anunt,2026-06-04T23:00:20.706718176
adauga_anunt,2026-06-04T23:00:20.707676006
adauga_anunt,2026-06-04T23:00:20.708405483
adauga_anunt,2026-06-04T23:00:20.709108526
programeaza_vizionare,2026-06-04T23:00:20.709879715
programeaza_vizionare,2026-06-04T23:00:20.710844804
programeaza_vizionare,2026-06-04T23:00:20.711650514
incheie_contract,2026-06-04T23:00:20.712388297
incheie_contract,2026-06-04T23:00:20.713786701
adauga_proprietate_favorite,2026-06-04T23:00:20.715980568
adauga_proprietate_favorite,2026-06-04T23:00:20.718593048
adauga_proprietate_favorite,2026-06-04T23:00:20.719421434
adauga_proprietate_favorite,2026-06-04T23:00:20.720166449
adauga_agentie_imobiliara,2026-06-04T23:00:20.721116895
inregistreaza_agent_imobiliar,2026-06-04T23:00:20.721743641
inregistreaza_client,2026-06-04T23:00:20.722457606
adauga_proprietate,2026-06-04T23:00:20.723127168
adauga_anunt,2026-06-04T23:00:20.723893152
programeaza_vizionare,2026-06-04T23:00:20.724533709
schimba_status_vizionare,2026-06-04T23:00:20.725217120
incheie_contract,2026-06-04T23:00:20.726024483
adauga_proprietate_favorite,2026-06-04T23:00:20.726893549
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:00:20.727507935
adauga_agentie_imobiliara,2026-06-04T23:02:18.738764949
adauga_agentie_imobiliara,2026-06-04T23:02:18.759565561
inregistreaza_agent_imobiliar,2026-06-04T23:02:18.760054629
inregistreaza_agent_imobiliar,2026-06-04T23:02:18.760611858
inregistreaza_agent_imobiliar,2026-06-04T23:02:18.761094881
inregistreaza_client,2026-06-04T23:02:18.761524011
inregistreaza_client,2026-06-04T23:02:18.762486245
inregistreaza_client,2026-06-04T23:02:18.762806321
adauga_proprietate,2026-06-04T23:02:18.763353713
adauga_proprietate,2026-06-04T23:02:18.765870984
adauga_proprietate,2026-06-04T23:02:18.766715345
adauga_proprietate,2026-06-04T23:02:18.767495384
adauga_anunt,2026-06-04T23:02:18.768246944
adauga_anunt,2026-06-04T23:02:18.768889678
adauga_anunt,2026-06-04T23:02:18.769497307
adauga_anunt,2026-06-04T23:02:18.770215298
programeaza_vizionare,2026-06-04T23:02:18.771203396
programeaza_vizionare,2026-06-04T23:02:18.772030790
programeaza_vizionare,2026-06-04T23:02:18.772845679
incheie_contract,2026-06-04T23:02:18.773572830
incheie_contract,2026-06-04T23:02:18.774936924
adauga_proprietate_favorite,2026-06-04T23:02:18.776558852
adauga_proprietate_favorite,2026-06-04T23:02:18.778216568
adauga_proprietate_favorite,2026-06-04T23:02:18.778720773
adauga_proprietate_favorite,2026-06-04T23:02:18.779230222
adauga_agentie_imobiliara,2026-06-04T23:02:18.779893257
inregistreaza_agent_imobiliar,2026-06-04T23:02:18.780228344
inregistreaza_client,2026-06-04T23:02:18.780546439
adauga_proprietate,2026-06-04T23:02:18.780953565
adauga_anunt,2026-06-04T23:02:18.781333306
programeaza_vizionare,2026-06-04T23:02:18.781907542
schimba_status_vizionare,2026-06-04T23:02:18.782624545
incheie_contract,2026-06-04T23:02:18.783453075
adauga_proprietate_favorite,2026-06-04T23:02:18.784372029
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:02:18.784949665
adauga_agentie_imobiliara,2026-06-04T23:05:19.404747323
adauga_agentie_imobiliara,2026-06-04T23:05:19.429219948
inregistreaza_agent_imobiliar,2026-06-04T23:05:19.429860595
inregistreaza_agent_imobiliar,2026-06-04T23:05:19.430728330
inregistreaza_agent_imobiliar,2026-06-04T23:05:19.431294148
inregistreaza_client,2026-06-04T23:05:19.431939896
inregistreaza_client,2026-06-04T23:05:19.432982738
inregistreaza_client,2026-06-04T23:05:19.433450348
adauga_proprietate,2026-06-04T23:05:19.434007823
adauga_proprietate,2026-06-04T23:05:19.436972474
adauga_proprietate,2026-06-04T23:05:19.437819628
adauga_proprietate,2026-06-04T23:05:19.438869272
adauga_anunt,2026-06-04T23:05:19.439797564
adauga_anunt,2026-06-04T23:05:19.440331661
adauga_anunt,2026-06-04T23:05:19.440819734
adauga_anunt,2026-06-04T23:05:19.441313927
programeaza_vizionare,2026-06-04T23:05:19.441772109
programeaza_vizionare,2026-06-04T23:05:19.442407831
programeaza_vizionare,2026-06-04T23:05:19.442929045
incheie_contract,2026-06-04T23:05:19.443410985
incheie_contract,2026-06-04T23:05:19.444507020
adauga_proprietate_favorite,2026-06-04T23:05:19.446062450
adauga_proprietate_favorite,2026-06-04T23:05:19.448076164
adauga_proprietate_favorite,2026-06-04T23:05:19.448697949
adauga_proprietate_favorite,2026-06-04T23:05:19.449136840
adauga_agentie_imobiliara,2026-06-04T23:05:19.449797571
inregistreaza_agent_imobiliar,2026-06-04T23:05:19.450315925
inregistreaza_client,2026-06-04T23:05:19.450903094
adauga_proprietate,2026-06-04T23:05:19.451508400
adauga_anunt,2026-06-04T23:05:19.452194651
programeaza_vizionare,2026-06-04T23:05:19.452909257
schimba_status_vizionare,2026-06-04T23:05:19.453618002
incheie_contract,2026-06-04T23:05:19.454492726
adauga_proprietate_favorite,2026-06-04T23:05:19.455490246
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:05:19.456218089
adauga_agentie_imobiliara,2026-06-04T23:05:44.793210664
adauga_agentie_imobiliara,2026-06-04T23:05:44.823004316
inregistreaza_agent_imobiliar,2026-06-04T23:05:44.823774332
inregistreaza_agent_imobiliar,2026-06-04T23:05:44.824744212
inregistreaza_agent_imobiliar,2026-06-04T23:05:44.827196449
inregistreaza_client,2026-06-04T23:05:44.828363947
inregistreaza_client,2026-06-04T23:05:44.830125335
inregistreaza_client,2026-06-04T23:05:44.831041232
adauga_proprietate,2026-06-04T23:05:44.831991505
adauga_proprietate,2026-06-04T23:05:44.835796723
adauga_proprietate,2026-06-04T23:05:44.837000704
adauga_proprietate,2026-06-04T23:05:44.838274049
adauga_anunt,2026-06-04T23:05:44.839622749
adauga_anunt,2026-06-04T23:05:44.840461709
adauga_anunt,2026-06-04T23:05:44.841191073
adauga_anunt,2026-06-04T23:05:44.841799865
programeaza_vizionare,2026-06-04T23:05:44.842531906
programeaza_vizionare,2026-06-04T23:05:44.843436223
programeaza_vizionare,2026-06-04T23:05:44.843960139
incheie_contract,2026-06-04T23:05:44.844559175
incheie_contract,2026-06-04T23:05:44.846059156
adauga_proprietate_favorite,2026-06-04T23:05:44.847740619
adauga_proprietate_favorite,2026-06-04T23:05:44.849539691
adauga_proprietate_favorite,2026-06-04T23:05:44.850187949
adauga_proprietate_favorite,2026-06-04T23:05:44.850889152
adauga_agentie_imobiliara,2026-06-04T23:05:44.852044831
inregistreaza_agent_imobiliar,2026-06-04T23:05:44.865028146
